"Order.ID","Order.Date","Ship.Mode","Segment","State","Region","Category","Sub.Category","Sales","Quantity","Discount","Profit","profit_margin","profit_status","discount_band","order_year","order_quarter"
"CA-2016-152156",2016-11-08,"Second Class","Consumer","Kentucky","South","Furniture","Bookcases",261.96,2,0,41.9136,16,"Profit","No Discount (0%)",2016,"Q4"
"CA-2016-152156",2016-11-08,"Second Class","Consumer","Kentucky","South","Furniture","Chairs",731.94,3,0,219.582,30,"Profit","No Discount (0%)",2016,"Q4"
"CA-2016-138688",2016-06-12,"Second Class","Corporate","California","West","Office Supplies","Labels",14.62,2,0,6.8714,47,"Profit","No Discount (0%)",2016,"Q2"
"US-2015-108966",2015-10-11,"Standard Class","Consumer","Florida","South","Furniture","Tables",957.5775,5,0.45,-383.031,-40,"Loss","Very High (31%+)",2015,"Q4"
"US-2015-108966",2015-10-11,"Standard Class","Consumer","Florida","South","Office Supplies","Storage",22.368,2,0.2,2.5164,11.25,"Profit","Medium (11-20%)",2015,"Q4"
"CA-2014-115812",2014-06-09,"Standard Class","Consumer","California","West","Furniture","Furnishings",48.86,7,0,14.1694,29,"Profit","No Discount (0%)",2014,"Q2"
"CA-2014-115812",2014-06-09,"Standard Class","Consumer","California","West","Office Supplies","Art",7.28,4,0,1.9656,27,"Profit","No Discount (0%)",2014,"Q2"
"CA-2014-115812",2014-06-09,"Standard Class","Consumer","California","West","Technology","Phones",907.152,6,0.2,90.7152,10,"Profit","Medium (11-20%)",2014,"Q2"
"CA-2014-115812",2014-06-09,"Standard Class","Consumer","California","West","Office Supplies","Binders",18.504,3,0.2,5.7825,31.25,"Profit","Medium (11-20%)",2014,"Q2"
"CA-2014-115812",2014-06-09,"Standard Class","Consumer","California","West","Office Supplies","Appliances",114.9,5,0,34.47,30,"Profit","No Discount (0%)",2014,"Q2"
"CA-2014-115812",2014-06-09,"Standard Class","Consumer","California","West","Furniture","Tables",1706.184,9,0.2,85.3092,5,"Profit","Medium (11-20%)",2014,"Q2"
"CA-2014-115812",2014-06-09,"Standard Class","Consumer","California","West","Technology","Phones",911.424,4,0.2,68.3568,7.5,"Profit","Medium (11-20%)",2014,"Q2"
"CA-2017-114412",2017-04-15,"Standard Class","Consumer","North Carolina","South","Office Supplies","Paper",15.552,3,0.2,5.4432,35,"Profit","Medium (11-20%)",2017,"Q2"
"CA-2016-161389",2016-12-05,"Standard Class","Consumer","Washington","West","Office Supplies","Binders",407.976,3,0.2,132.5922,32.5,"Profit","Medium (11-20%)",2016,"Q4"
"US-2015-118983",2015-11-22,"Standard Class","Home Office","Texas","Central","Office Supplies","Appliances",68.81,5,0.8,-123.858,-180,"Loss","Very High (31%+)",2015,"Q4"
"US-2015-118983",2015-11-22,"Standard Class","Home Office","Texas","Central","Office Supplies","Binders",2.544,3,0.8,-3.816,-150,"Loss","Very High (31%+)",2015,"Q4"
